ID,label,claim_clean,reference_clean,labels
i_553,Unverifiable,"Key Techniques in 3D Bioprinting Extrusion-Based Bioprinting: This method is versatile and widely used, involving the extrusion of bioinks through a nozzle to form continuous filaments. It is suitable for creating large, volumetric constructs .","Three-dimensional bioprinting as an additive manufacturing technology for constructing biomimetic tissues by the deposition of individual layers is an ever growing and evolving field. Bioprinting has found many applications across tissue engineering and regenerative medicine disciplines, including medical research, regenerating human tissues for transplantation, and conducting stem cell research. In order to maintain the forward momentum of bioprinting, it is necessary to consider major factors limiting bioprinting's capabilities: post-printing cell viability and printing resolution. Computational modeling has the capacity to investigate the impact dynamics of encapsulated cells as they are deposited, with a particular focus on determining the deformation of the encapsulated cell and the rate of deformation, which are dependent on, among other factors, viscoelastic features, droplet size, and velocity. Similarly, computational models can be utilized to optimize filament integrity in extrusion-based bioprinting. By harnessing the power of modeling, experimental parameters can be predicted and fine-tuned to improve cell viability and/or shape fidelity. Herein, we review extrusion-based, droplet-based, and laser-based bioprinting techniques. The respective computational models are then presented, including compound droplet impact models for droplet-based bioprinting, which incorporated a Newtonian-model and viscoelastic features, and computational models applied to extrusion-based bioprinting. We then conclude with the future direction of bioprinting theory.
[7]: Three-dimensional (3D) bioprinting has become a fast-developing research field in the last few years. Many different technical solutions are available, with extrusion-based printing being the most promising and versatile method. In addition, a variety of biomaterials are already available for 3D printing of live cells. The real challenge, however, remains bioprinting of macroscopic, volumetric constructs of well-defined structures since hydrogels used for cell-embedding must consist of rather soft materials. This article describes recent developments to overcome these limitations that prevent clinical applications of bioprinted human tissues. New approaches include technical solutions such as in situ cross-linking or gelation processes that now can be performed during the bioprinting process, modified bioinks that combine suitable viscosity and cytocompatible gelation mechanisms, and utilization of additional materials to provide mechanical strength to the cell-laden constructs.",Related but unverifiable
s_1435,Entailment,"Key Points: Comparative Drying Methods: Other drying methods, such as microwave-assisted freeze drying, have been shown to maintain the stability of plant bioactives and structural integrity during storage . This suggests that foam mat drying, which also aims to preserve product quality, might similarly help in maintaining dietary fiber levels, although specific data on this is not provided.","We compared the effects of the use of microwaves during freeze drying with conventional freeze drying on the structure and storage behavior of dried raspberry puree foam. The effects of hydrocolloids, such as potato protein (as a foaming agent), maltodextrin, pectin (as foam stabilizers), and the impact of foam structure on the stability of plant bioactives (namely anthocyanins and ascorbic acid) and color during storage was investigated. Dried samples were vacuum-packed and stored at 37 °C for 12 weeks. Water sorption and glass transition temperatures were also measured. The results suggest that the raspberry puree is not as stable as the foamed structure. Storage stability of microwave-assisted freeze-dried samples revealed equivalent or even slightly better characteristics when compared with those produced via the conventional freeze-drying method. It can be concluded that microwave freeze drying does not induce specific detrimental changes during storage as compared to the freeze-drying technology used as control.",Entailment
s_547,Unverifiable,"Maintenance Costs: Fiber Reinforced Concrete (FRC): Durability: While FRC is often associated with enhanced durability and resistance to cracking, it may not significantly reduce maintenance costs in all scenarios. The inclusion of fibers can help in arresting cracks, but this does not guarantee a longer service life in every application, as various factors can influence performance .","Corrosion of steel reinforcement in conventional concrete structures induces deterioration of structures. Fiber-reinforced plastic (FRP) composite reinforcement can be used in concrete structures instead of steel rebars. This composite rebar prevents the degradation of concrete structures from moisture effects. Moreover, this composite rebar reduces the structural weight and continuous fiber composites are able to arrest cracks and prevent self-similar crack propagation. However, a number of design parameters such as fiber orientation patterns and choices of constituent material combinations provide a multiplicity of design options for this structure, which requires a priori quantification of progressive damage in this composite structure and its fracture characteristics. In this paper, durability and damage tolerance (D&DT) of concrete beams with FRP composite reinforcement under static loading is evaluated using a multi-scale micro-macro progressive failure analysis (PFA) technique that augments commercial FE stress solvers. PFA predicts damage initiation and propagation, fracture initiation and propagation, and the final residual strength in the structure. The prediction is validated with experiment data obtained from full-scale beam tests. In the experiment, each specimen was tested in four-point bending with different specification. Simulation results show in detail the damage progression sequence and structural response characteristics during different degradation stages. Computational simulation provides an alternative evaluation method, giving engineers a detailed description of durability and damage tolerance would take place in the process of ultimate fracture of concrete structures with FRP reinforcement.
[9]: Civil infrastructure around the world is in a state of utter disrepair and significant efforts are needed on the part of all stakeholders to render our failing infrastructure back to a serviceable and safe state. The root of the problem is at the apparent lack of durability in our construction materials, inability on part of the owners to provide timely maintenance, absence of advanced condition assessment tools and lack of long-lasting, cost effective repair materials and technologies. This paper will present data to support the argument that fiber reinforced concrete (FRC) is an ideal material for achieving these goals. The paper also discusses smart fiber reinforced concrete materials carrying carbon fibers and carbon nano-tubes that possess sensing abilities. These materials can help us develop intelligent infrastructure with elegantly integrated sensing and health monitoring abilities. © 2013 Taylor & Francis Group, London, UK.",Related but unverifiable
s_570,Unverifiable,"Energy Consumption in Extrusion Machinery: Implementing a power balance sheet helps extrusion plants determine the efficiency of their units and better utilize energy. This involves calculating the heating power consumed at regular intervals and identifying key energy losses in the drive line and plasticizing unit. Additionally, it is believed that advancements in sensor technology could further enhance the accuracy of energy consumption measurements in extrusion processes, leading to even greater efficiency improvements .","Florian Schneider states that a power balance sheet helps an extrusion plant in determining the efficiency of existing units and enables better utilization of energy. A power balance sheet enables an extruder to calculate the heating power consumed at regular intervals, when the heating is switched on. A combination of motor, gear, and direct drives are also being implemented by extruders to minimize energy loss. Gears and clutches are dispensed with in these drives and the extruder screw is linked directly to the electric motor. A power balance sheet is essential to measure and evaluate energy consumption in extruding plants. The key energy losses in an extruder arise in the drive line and the plasticizing unit.",Related but unverifiable
s_1356,Unverifiable,"Key Findings: Psychosocial and Cognitive Recovery: Women may experience more significant cognitive and psychosocial impairments post-stroke, which can affect their rehabilitation outcomes. These impairments include memory, social integration, and decision-making difficulties .","A study included 100 patients (47 men and 53 women) with cerebral stroke. We revealed significant disordres of cognitive and psychosocial functions (memory, social integration and decision making) in the early stage of rehabilitation. The Functional Independence Measure (FIM) score at baseline (beginning of the early stage of rehabilitation) was 17.3 +/- 7.7. There was a partial recovery of cognitive and psychosocial functions during the rehabilitation that reflected in increasing of FIM score to 25.9 +/- 7.0. Neglect syndrome and severity of lesion (hemiplegia) had a significant negative effect on the effectiveness of occupational therapy (p < 0.05 and p < 0.01, respectively). It has been concluded that occupational therapy significantly improves the independence of patients.",Related but unverifiable
i_1523,Contradiction,"Challenges and Future Directions: Radiometric Quality: The quality of remote sensing data, especially from newer sources like CubeSats, needs careful evaluation. For instance, the Sentinel CubeSat constellation showed varying accuracy in different water conditions, indicating the need for further validation .","Remote sensing plays an important role in the monitoring of inland waters. Recently, Cubesats have become an alternative data source for studies that require high spatiotemporal resolutions. However, the radiometric quality of those data was never evaluated for inland water studies. This letter presents the experimental results to assess the quality of the Remote Sensing Reflectance (R<inf>rs</inf>) from commercial PlanetScope (PS) CubeSat constellation. The radiometric assessment was performed using in situ R<inf>rs</inf> measured at 37 field stations on distinct lakes across Lower Amazon Floodplain. In turbid lakes, PS bands presented R<inf>rs</inf> accuracy of 46% for all VNIR bands (coefficient of determination (R<sup>2</sup>) = 0.56), while in clear water lakes the results were not satisfactory (R<sup>2</sup> = 0.08). Furthermore, results showed a spectral dependence in the quality of R<inf>rs</inf> retrievals for the turbid lakes, with sounder metrics in visible bands (red band: R<sup>2</sup> = 0.83). Finally, there is a high correlation between water quality parameters (sediments concentration and Secchi Depth) and PS R<inf>rs</inf> at the red band (R<sup>2</sup> > 0.74). Although PS images are mostly designed for land applications, the results suggest that the radiometric quality is sufficient for the monitoring of fine-scale mixing processes between river waters and floodplain lakes.",Entity error
i_956,Entailment,"Ergonomic Issues: Prolonged standing and repetitive movements can lead to significant physical fatigue, which not only reduces productivity but also increases the risk of accidents .","Wearable sensors are currently being used to manage fatigue in professional athletics, transportation and mining industries. In manufacturing, physical fatigue is a challenging ergonomic/safety ""issue"" since it lowers productivity and increases the incidence of accidents. Therefore, physical fatigue must be managed. There are two main goals for this study. First, we examine the use of wearable sensors to detect physical fatigue occurrence in simulated manufacturing tasks. The second goal is to estimate the physical fatigue level over time. In order to achieve these goals, sensory data were recorded for eight healthy participants. Penalized logistic and multiple linear regression models were used for physical fatigue detection and level estimation, respectively. Important features from the five sensors locations were selected using Least Absolute Shrinkage and Selection Operator (LASSO), a popular variable selection methodology. The results show that the LASSO model performed well for both physical fatigue detection and modeling. The modeling approach is not participant and/or workload regime specific and thus can be adopted for other applications.",Entailment
i_2063,Contradiction,"Challenges and Barriers: Support and Community Involvement: The lack of support from authorities and the community, combined with insufficient research and technology access, are the sole reasons for the failure of entrepreneurial development in agricultural sectors like the straw agribusiness in Malaysia .","Given the need to address the adverse environmental impacts of rice straw burning, enhancing straw-utilisation would seem to be a step in the right direction. One way to achieve this objective would be to develop viable straw entrepreneurs. This study evaluates the barriers and challenges facing the straw entrepreneurial development in Malaysia. A total of 44 entrepreneurs in the country's rice bowl areas of MADA (n=24) and Sekinchan (n=20) were interviewed. The findings reveal five major problems that have been stagnating the Malaysian straw agribusiness, namely, lack of support from both authorities and the community, lack of research and access to technology facilities, low levels of skills and knowledge pertaining to straw industry, and lack of readily available venture capital. Other related challenges unveiled include uncertain entrepreneurial attitude, limited product markets, unreliable supply of raw straw, and the lack of skilled workers. To reverse the stagnation and rejuvenate its straw byproduct agribusiness Malaysia would need to strengthen and integrate institutional support, to enlarge all round stakeholders' involvement including that of the local community and the entrepreneurs themselves, and embark on fullscale product and market development.",Missing information
i_1570,Contradiction,"Policy and Planning Conflicts: The four-step principle in Sweden's national transport policy emphasizes reducing the need for transport and using existing infrastructure efficiently before considering new constructions. However, many measures in steps 1 and 3 fall outside the financial mandate of the Swedish Transport Administration (STA), limiting their implementation .","Research on sustainability and transport has paid increasing attention to how the purpose of the transport system is framed, often arguing that there is a need to shift the focus of transport planning and policy from the physical infrastructure to mobility and accessibility. Sweden's national transport policy also has elements of this shift, most noticeable in the so-called four step principle, where the possibility to affect the need for transport and choice of transport mode (step 1) and the possibility to use existing infrastructure more efficiently (step 2) should be considered before large reconstructions (step 3) or new infrastructure (step 4) is chosen as the solution to transport related problems. The aim of this article is to study whether the practical implications of Swedish national transport policy are consistent with the ambitions expressed in the four step principle, with particular focus on the Swedish Transport Administration's (STA) mandate to finance different measures. Based on an analysis of policy documents and semi-structured interviews the main finding of the analysis is that many step 1 and 2 measures do not fall within the financial mandate of the STA. The implementation of the four step principle therefore depends on the commitment among other actors than the STA to implement step 1 and 2 measures. Furthermore, it is concluded that the limits to the STA mandate has consequences for the ability of the STA to engage in collaboration with the actors on which it depends, and that strengthening the STA's mandate to finance a desired function rather than physical infrastructure is likely to increase commitment among other stakeholders to work with these measures. Such a step would imply a different regulatory framework than the current, more in line with ""the sustainable mobility paradigm"" (Banister 2008) and could contribute to a good accessibility to different amenities at the same time as negative environmental impacts are reduced.",Numeric error
i_2353,Entailment,Environmental Monitoring: Implement routine environmental monitoring to detect and address potential sources of contamination in the culture collection environment .,"Compounding pharmacies and contract testing laboratories can readily utilize critical information that microbial identification methods provide. Rapidly identifying the genus and species of environmental isolates and sample contaminates provides pharmacies and laboratories the opportunity to determine the possible source and implement corrective actions to improve compounding and testing processes. The microbial identification data collected from a compounding environment is critical. It is important to have accurate and specific microbial information to guide environmental collection practices, validation studies, and troubleshooting initiatives. The different technologies available provide varying levels of identification. They range from phenotypic assays to more accurate molecular-based techniques, including macromolecular methods and whole genome sequencing. Selecting the appropriate identification methodology requires evaluating multiple factors including the level of information required (genus only, genus and species, etc.) and the pharmacy's tolerance for unidentified or incorrectly identified isolates.
[4]: The present work focuses on assessing bacterial profiles of microbiota existing on technological equipment applied in food products manufacturing, objects located inside medical and preventive facilities, and water objects in recreation zones; another goal was to examine phenotypic properties of opportunistic pathogenic bacteria isolates as hazard identification factors within the framework of risk assessment concept. Our research objects were strains of Escherichia, Klebsiella, Enterobacter, Staphylococcus, Pseudomonas, Citrobacter and Serratia families that were detected and extracted due to hygienic monitoring activities performed in 2013-2017. Samples were taken via washing, direct inoculation, membrane filtration, and instrumental aspiration technique. Microbial status was analyzed with cultural and biochemical techniques on nutrient and differential-diagnostic media with subsequent confirmation with polymerase chain reaction (PCR). Phenotypic peculiarities were examined in vitro with conventional biochemical and microbiological techniques in conformity with the requirement fixed in Good Laboratory Practice. We revealed peculiarities of microbial profiles belonging to opportunistic pathogenic microbiota on different objects in habitats. The greatest groups included staphylococci detected in the air inside medical organizations with 1-4 cleanness degree (44 %); Enterobacteriaceae family bacteria, in washes off objects located in manufacturing and medical and prevention facilities (64 % and 69 % accordingly); Pseudomonas family bacteria, in water objects (46 %). 60 (36 %) isolates out of 167 examined ones had modified morphological and tinctorial signs regarding those typical for a family. Most isolates had a set of modified or atypical metabolomic signs such as hemolytic and lecithinase activities, apparent persistent factors, and ability to create biofilms. Opportunistic pathogenic bacteria strains extracted from washes off objects located inside food products manufacturing and medical and preventive facilities were the most potentially aggressive. Isolates from the same families extracted from water objects in recreation zones and air inside medical and preventive facilities had less apparent phenotypic properties that characterized their pathogenic potential. Our experimental data provide useful materials for examining a phenomenon related to changes in phenotypic properties; they can be applied during revealing and drawing up a hazard profile and for minimizing uncertainty within the concept of microbiological risk analysis.",Entailment
s_2176,Entailment,"7. Rating Systems for Built Environment Rating systems such as those used in the building industry assess sustainability by considering environmental, social, and economic impacts. These systems can be adapted for other industries, like unconventional petroleum projects .","A number of environmental and sustainability rating systems have been developed and used around the world. This trend has been most notable in the building industry, where evolution of construction practices and concerns about environmental impact have led to the development of different environmental and sustainability assessment approaches, strategies, models, appraisals, and methodologies. The implementation of green technology and practices has brought economic, social, and environmental benefits with respect to improving sustainable development performance with an accompanying certification process. The framework for developing rating systems for building systems can be extended and applied in other industrial contexts. As global demand for energy continues to rise, unconventional petroleum extraction and production of petroleum substitutes are both becoming more necessary. Development and operation of unconventional oil projects can have considerable social, economic, and environmental impacts. For example, one the largest unconventional oil deposits in the world is the Athabasca oil sands in northern Canada. Government policy makers, industrial developers, and other stakeholders generally work together to develop oil sands projects in an environmentally responsible manner; however, the projects lack of an effective sustainable development measurement tool. The WA-PA-SU project sustainability rating system is a proposed framework for measuring - in a consistent manner - the sustainability of development of unconventional petroleum projects in oil sands and heavy oil. The intent of the rating system is to have a tool that can be used by companies, stakeholders, and policy makers to measure and understand the range of impacts that projects may have over time. This assessment framework includes - but is not limited to - regulatory requirements, as well as approaches for measuring sustainability on social, economic, and environmental grounds. This paper presents a brief history of oil sands development, and the structure of the rating system. This structure comprises a description of the different areas included in the rating system, and the rationale for the first tool, which is intended to assist practitioners and stakeholders in general to measure sustainable development of the oil sands and heavy oil projects. © 2012 WIT Press.",Entailment
